Title,Authors,Date of Publication,Research Area Tags,Link to paper
"Blockchain and Public Record Keeping: Of Temples, Prisons, and the (Re)Configuration of Power","Victoria Lemieux","July 11, 2019","","https://www.frontiersin.org/articles/10.3389/fbloc.2019.00005/full"
"A Secure Consensus Protocol for Sidechains","Chen Feng, Cesar Grajales, Jianyu Niu, Mohammad Jalalzai","June 14, 2019","","https://arxiv.org/abs/1906.06490"
"Selfish Mining in Ethereum","Chen Feng, Jianyu Niu","April 18, 2019","","https://arxiv.org/abs/1901.04620"
"The Margin Between the Edge of the World and Infinite Possibility","Darra Hofman, Victoria Lemieux","March 10, 2019","","https://www.emeraldinsight.com/doi/abs/10.1108/RMJ-12-2018-0045"
"Distributed Resource Allocation in Blockchain-based Video Streaming Systems with Mobile Edge Computing","Mengting Liu, Yinglei Teng, Richard Yu","December 14, 2018","","https://www.researchgate.net/publication/329592797_Distributed_Resource_Allocation_in_Blockchain-based_Video_Streaming_Systems_with_Mobile_Edge_Computing"
"How Blockchain Can Shape Sustainable Global Value Chains: An Evidence, Verifiability, and Enforceability (EVE) Framework","Harish Krishnan, Lijo John","October 28, 2018","","https://www.mdpi.com/2071-1050/10/11/3926/htm"
"Legitimating The Initial Coin Offering: A Multidisciplinary Study","Chris Rowell","October 17, 2018","","https://icomplyico.com/2018-research-paper/"
"Initial Coin Offerings, Blockchain Technology, and White Paper Disclosures","Chen Feng, Nan Li, Mingyue Zhang, Franco Wong","October 11, 2018","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3256289"
"Decentralized Applications: The Blockchain-Empowered Software System","Chen Feng","September 16, 2018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp&amp%3Barnumber=8466786&amp%3Btag=1"
"Bringing the Inside Out and the Outside In: How Hiring Processes Bridge Across Startup-Ecosystem Boundaries","","August 14, 2018","",""
"Building Trust & Protecting Privacy: Analyzing Evidentiary Quality in a Blockchain Proof-of-Concept for Health Research Data Consent Management","Darra Hofman, Victoria Lemieux","August 2, 2018","","https://www.researchgate.net/publication/328318829_Building_Trust_Protecting_Privacy_Analyzing_Evidentiary_Quality_in_a_Blockchain_Proof-of-Concept_for_Health_Research_Data_Consent_Management"
